20190601 070000,49.11,BE,1559365200000000000
20190601 080000,50.77,BE,1559368800000000000
20190601 090000,53.4,BE,1559372400000000000
20190601 100000,56.55,BE,1559376000000000000
20190601 110000,60.02,BE,1559379600000000000
20190601 120000,60.22,BE,1559383200000000000
20190601 130000,55.0,BE,1559386800000000000
20190601 140000,52.39,BE,1559390400000000000
20190601 150000,51.57,BE,1559394000000000000
20190601 160000,54.71,BE,1559397600000000000
20190601 170000,63.43,BE,1559401200000000000
20190601 180000,67.37,BE,1559404800000000000
20190601 190000,67.2,BE,1559408400000000000
20190601 200000,66.03,BE,1559412000000000000
20190601 210000,55.36,BE,1559415600000000000
20190601 220000,58.59,BE,1559419200000000000
20190601 230000,55.97,BE,1559422800000000000
20190701 000000,54.58,BE,1561932000000000000
20190701 010000,50.7,BE,1561935600000000000
20190701 020000,47.84,BE,1561939200000000000
20190701 030000,46.11,BE,1561942800000000000
20190701 040000,46.08,BE,1561946400000000000
20190701 050000,47.62,BE,1561950000000000000
20190701 060000,55.77,BE,1561953600000000000
20190701 070000,68.61,BE,1561957200000000000
20190701 080000,74.15,BE,1561960800000000000
20190701 090000,74.93,BE,1561964400000000000
20190701 100000,73.59,BE,1561968000000000000
20190701 110000,71.23,BE,1561971600000000000
20190701 120000,70.18,BE,1561975200000000000
20190701 130000,68.74,BE,1561978800000000000
20190701 140000,64.6,BE,1561982400000000000
20190701 150000,59.25,BE,1561986000000000000
20190701 160000,58.16,BE,1561989600000000000
20190701 170000,74.0,BE,1561993200000000000
20190701 180000,53.95,BE,1561996800000000000
20190701 190000,50.0,BE,1562000400000000000
20190701 200000,51.0,BE,1562004000000000000
20190701 210000,44.4,BE,1562007600000000000
20190701 220000,48.72,BE,1562011200000000000
20190701 230000,44.4,BE,1562014800000000000
20190801 000000,37.88,BE,1564610400000000000
20190801 010000,43.76,BE,1564614000000000000
20190801 020000,44.5,BE,1564617600000000000
20190801 030000,30.87,BE,1564621200000000000
20190801 040000,28.28,BE,1564624800000000000
20190801 050000,42.0,BE,1564628400000000000
20190801 060000,54.0,BE,1564632000000000000
20190801 070000,60.79,BE,1564635600000000000
20190801 080000,72.7,BE,1564639200000000000
20190801 090000,67.64,BE,1564642800000000000
20190801 100000,61.81,BE,1564646400000000000
20190801 110000,58.55,BE,1564650000000000000
20190801 120000,49.39,BE,1564653600000000000
20190801 130000,49.01,BE,1564657200000000000
20190801 140000,52.38,BE,1564660800000000000
20190801 150000,52.37,BE,1564664400000000000
20190801 160000,52.84,BE,1564668000000000000
20190801 170000,77.35,BE,1564671600000000000
20190801 180000,55.22,BE,1564675200000000000
20190801 190000,51.99,BE,1564678800000000000
20190801 200000,50.1,BE,1564682400000000000
20190801 210000,51.6,BE,1564686000000000000
20190801 220000,53.34,BE,1564689600000000000
20190801 230000,54.98,BE,1564693200000000000
20190901 000000,45.1,BE,1567288800000000000
20190901 010000,43.05,BE,1567292400000000000
20190901 020000,40.41,BE,1567296000000000000
20190901 030000,35.49,BE,1567299600000000000
20190901 040000,30.76,BE,1567303200000000000
20190901 050000,38.53,BE,1567306800000000000
20190901 060000,50.69,BE,1567310400000000000
20190901 070000,60.6,BE,1567314000000000000
20190901 080000,70.39,BE,1567317600000000000
20190901 090000,74.0,BE,1567321200000000000
20190901 100000,70.1,BE,1567324800000000000
20190901 110000,54.68,BE,1567328400000000000
20190901 120000,51.09,BE,1567332000000000000
20190901 130000,50.1,BE,1567335600000000000
20190901 140000,54.16,BE,1567339200000000000
20190901 150000,56.34,BE,1567342800000000000
20190901 160000,64.98,BE,1567346400000000000
20190901 170000,73.93,BE,1567350000000000000
20190901 180000,74.69,BE,1567353600000000000
20190901 190000,56.3,BE,1567357200000000000
20190901 200000,56.3,BE,1567360800000000000
20190901 210000,56.3,BE,1567364400000000000
20190901 220000,56.3,BE,1567368000000000000
20190901 230000,51.27,BE,1567371600000000000
20191001 000000,52.69,BE,1569880800000000000
20191001 010000,49.8,BE,1569884400000000000
20191001 020000,49.19,BE,1569888000000000000
20191001 030000,48.8,BE,1569891600000000000
20191001 040000,48.5,BE,1569895200000000000
20191001 050000,49.8,BE,1569898800000000000
20191001 060000,60.08,BE,1569902400000000000
20191001 070000,72.6,BE,1569906000000000000
20191001 080000,81.17,BE,1569909600000000000
20191001 090000,81.79,BE,1569913200000000000
20191001 100000,81.15,BE,1569916800000000000
20191001 110000,80.0,BE,1569920400000000000
20191001 120000,76.39,BE,1569924000000000000
20191001 130000,75.0,BE,1569927600000000000
20191001 140000,76.06,BE,1569931200000000000
20191001 150000,75.4,BE,1569934800000000000
20191001 160000,76.78,BE,1569938400000000000
20191001 170000,83.45,BE,1569942000000000000
20191001 180000,85.15,BE,1569945600000000000
20191001 190000,78.16,BE,1569949200000000000
20191001 200000,71.92,BE,1569952800000000000
20191001 210000,67.43,BE,1569956400000000000
20191001 220000,62.84,BE,1569960000000000000
20191001 230000,56.15,BE,1569963600000000000
20191101 000000,53.54,BE,1572562800000000000
20191101 010000,49.37,BE,1572566400000000000
20191101 020000,49.5,BE,1572570000000000000
20191101 030000,47.39,BE,1572573600000000000
20191101 040000,47.16,BE,1572577200000000000
20191101 050000,46.54,BE,1572580800000000000
20191101 060000,54.2,BE,1572584400000000000
20191101 070000,70.31,BE,1572588000000000000
20191101 080000,76.57,BE,1572591600000000000
20191101 090000,70.31,BE,1572595200000000000
20191101 100000,74.14,BE,1572598800000000000
20191101 110000,72.74,BE,1572602400000000000
20191101 120000,56.96,BE,1572606000000000000
20191101 130000,53.0,BE,1572609600000000000
20191101 140000,53.08,BE,1572613200000000000
20191101 150000,52.43,BE,1572616800000000000
20191101 160000,53.01,BE,1572620400000000000
20191101 170000,71.2,BE,1572624000000000000
20191101 180000,72.4,BE,1572627600000000000
20191101 190000,65.12,BE,1572631200000000000
20191101 200000,69.37,BE,1572634800000000000
20191101 210000,57.7,BE,1572638400000000000
20191101 220000,57.7,BE,1572642000000000000
20191101 230000,61.56,BE,1572645600000000000
20191201 000000,67.17,BE,1575154800000000000
20191201 010000,49.34,BE,1575158400000000000
20191201 020000,47.35,BE,1575162000000000000
20191201 030000,43.96,BE,1575165600000000000
20191201 040000,43.6,BE,1575169200000000000
20191201 050000,42.98,BE,1575172800000000000
20191201 060000,42.98,BE,1575176400000000000
20191201 070000,51.36,BE,1575180000000000000
20191201 080000,54.89,BE,1575183600000000000
20191201 090000,62.11,BE,1575187200000000000
20191201 100000,65.0,BE,1575190800000000000
20191201 110000,65.25,BE,1575194400000000000
20191201 120000,62.0,BE,1575198000000000000
20191201 130000,62.0,BE,1575201600000000000
20191201 140000,62.0,BE,1575205200000000000
20191201 150000,62.0,BE,1575208800000000000
20191201 160000,54.69,BE,1575212400000000000
20191201 170000,62.0,BE,1575216000000000000
20191201 180000,65.0,BE,1575219600000000000
20191201 190000,62.0,BE,1575223200000000000
20191201 200000,51.85,BE,1575226800000000000
20191201 210000,52.29,BE,1575230400000000000
20191201 220000,53.67,BE,1575234000000000000
20191201 230000,52.44,BE,1575237600000000000
20190113 000000,53.32,BE,1547334000000000000
20190113 010000,46.7,BE,1547337600000000000
20190113 020000,43.9,BE,1547341200000000000
20190113 030000,32.7,BE,1547344800000000000
20190113 040000,27.38,BE,1547348400000000000
20190113 050000,28.35,BE,1547352000000000000
20190113 060000,29.08,BE,1547355600000000000
20190113 070000,29.79,BE,1547359200000000000
20190113 080000,29.65,BE,1547362800000000000
20190113 090000,43.7,BE,1547366400000000000
20190113 100000,49.63,BE,1547370000000000000
20190113 110000,54.74,BE,1547373600000000000
20190113 120000,52.95,BE,1547377200000000000
20190113 130000,58.28,BE,1547380800000000000
20190113 140000,43.9,BE,1547384400000000000
20190113 150000,33.35,BE,1547388000000000000
20190113 160000,33.06,BE,1547391600000000000
20190113 170000,52.48,BE,1547395200000000000
20190113 180000,58.59,BE,1547398800000000000
20190113 190000,55.79,BE,1547402400000000000
20190113 200000,58.57,BE,1547406000000000000
20190113 210000,43.7,BE,1547409600000000000
20190113 220000,50.04,BE,1547413200000000000
20190113 230000,46.57,BE,1547416800000000000
20190114 000000,46.8,BE,1547420400000000000
20190114 010000,33.93,BE,1547424000000000000
20190114 020000,28.59,BE,1547427600000000000
20190114 030000,29.58,BE,1547431200000000000
20190114 040000,37.42,BE,1547434800000000000
20190114 050000,36.14,BE,1547438400000000000
20190114 060000,51.9,BE,1547442000000000000
20190114 070000,63.67,BE,1547445600000000000
20190114 080000,66.15,BE,1547449200000000000
20190114 090000,66.57,BE,1547452800000000000
20190114 100000,76.37,BE,1547456400000000000
20190114 110000,55.94,BE,1547460000000000000
20190114 120000,44.04,BE,1547463600000000000
20190114 130000,72.7,BE,1547467200000000000
20190114 140000,55.43,BE,1547470800000000000
20190114 150000,64.04,BE,1547474400000000000
20190114 160000,71.74,BE,1547478000000000000
20190114 170000,80.62,BE,1547481600000000000
20190114 180000,69.7,BE,1547485200000000000
20190114 190000,69.7,BE,1547488800000000000
20190114 200000,59.24,BE,1547492400000000000
20190114 210000,55.17,BE,1547496000000000000
20190114 220000,58.2,BE,1547499600000000000
20190114 230000,52.0,BE,1547503200000000000
20190115 000000,58.08,BE,1547506800000000000
20190115 010000,49.0,BE,1547510400000000000
20190115 020000,43.55,BE,1547514000000000000
20190115 030000,38.91,BE,1547517600000000000
20190115 040000,42.2,BE,1547521200000000000
20190115 050000,45.0,BE,1547524800000000000
20190115 060000,50.67,BE,1547528400000000000
20190115 070000,61.46,BE,1547532000000000000
20190115 080000,70.79,BE,1547535600000000000
20190115 090000,64.81,BE,1547539200000000000
20190115 100000,61.88,BE,1547542800000000000
20190115 110000,59.81,BE,1547546400000000000
20190115 120000,60.08,BE,1547550000000000000
20190115 130000,57.65,BE,1547553600000000000
20190115 140000,59.8,BE,1547557200000000000
20190115 150000,55.6,BE,1547560800000000000
20190115 160000,57.37,BE,1547564400000000000
20190115 170000,73.21,BE,1547568000000000000
20190115 180000,60.79,BE,1547571600000000000
20190115 190000,63.94,BE,1547575200000000000
20190115 200000,55.0,BE,1547578800000000000
20190115 210000,50.0,BE,1547582400000000000
20190115 220000,49.0,BE,1547586000000000000
20190115 230000,50.69,BE,1547589600000000000
20190116 000000,47.24,BE,1547593200000000000
20190116 010000,35.0,BE,1547596800000000000
20190116 020000,42.55,BE,1547600400000000000
20190116 030000,42.55,BE,1547604000000000000
20190116 040000,39.3,BE,1547607600000000000
20190116 050000,42.55,BE,1547611200000000000
20190116 060000,54.84,BE,1547614800000000000
20190116 070000,63.54,BE,1547618400000000000
20190116 080000,66.23,BE,1547622000000000000
20190116 090000,65.77,BE,1547625600000000000
20190116 100000,63.1,BE,1547629200000000000
20190116 110000,62.94,BE,1547632800000000000
20190116 120000,59.78,BE,1547636400000000000
20190116 130000,61.58,BE,1547640000000000000
20190116 140000,57.95,BE,1547643600000000000
20190116 150000,59.05,BE,1547647200000000000
20190116 160000,60.85,BE,1547650800000000000
20190116 170000,63.1,BE,1547654400000000000
20190116 180000,54.68,BE,1547658000000000000
